case,mean_cost,std_cost,median_cost,q90_cost,q95_cost,q99_cost,mean_total_tc,mean_total_trade,count
Correlated,71.65613272101469,414.7788533581078,74.3276594112493,599.3711492251473,745.3820348509297,1025.5680967106123,104.65381927108463,104.663151978302,10000
Independent,68.54398940336415,489.88327691575716,66.26297801259535,693.2703379288569,879.8050198621999,1226.181011732837,107.15901934739789,107.30448861923217,10000
