episode,episode_reward,loss_ex,loss_ex2
1000,-339.57287844512143,117.1131591796875,21006226.0
2000,-841.9085308044846,89.82482147216797,24192798.0
3000,-457.13509372898375,83.96932983398438,19287620.0
4000,-317.28518831313346,77.24610900878906,25526816.0
5000,69.35372401664462,71.07282257080078,18140452.0
6000,-165.6501068855736,75.39110565185547,26387748.0
7000,-939.5562907789028,55.86748504638672,13812776.0
8000,-246.87018951358658,47.487457275390625,11825803.0
9000,-400.42497388323005,31.908103942871094,2833503.25
10000,-583.6648151669424,32.201759338378906,2198380.5
11000,-1105.6512040954137,19.336978912353516,2378294.25
12000,-20.601169990375553,16.6085262298584,3312615.25
13000,-705.6027617566232,16.932552337646484,6973380.0
14000,-1059.2767486381247,14.554534912109375,11882972.0
15000,-501.1884177522138,12.16010856628418,16218122.0
16000,-272.2903841768249,11.920733451843262,25871254.0
17000,-503.9986722721301,9.694851875305176,34294376.0
18000,-38.15743908311575,6.178228855133057,22795704.0
19000,-1358.8010510711156,5.696924209594727,25336470.0
20000,-182.014629707746,4.89975643157959,25807316.0
21000,101.52166399249882,2.655393600463867,24660608.0
22000,-171.65025721339123,10.172317504882812,21108256.0
23000,-131.84632072541729,4.184276580810547,36390740.0
24000,-63.216533935948476,1.7625972032546997,33585168.0
25000,-79.73617066551388,1.5248788595199585,37161292.0
26000,-361.9645787917425,16.7379150390625,32592862.0
27000,-1074.1452167688728,1.9136521816253662,28933668.0
28000,-196.01495537956822,2.2304491996765137,26717096.0
29000,-426.51185904038186,0.7745406627655029,32263096.0
30000,-212.74722106853295,1.6502058506011963,17980536.0
31000,-251.58366630660046,0.5896154046058655,24753652.0
32000,-63.15520217203124,0.3050065338611603,18923272.0
33000,-373.9759608856476,1.3716174364089966,18122752.0
34000,-219.55321667635462,2.326965093612671,19547356.0
35000,-164.95018960623,0.7609823942184448,13617287.0
36000,-185.66072413217057,0.08647933602333069,13809500.0
37000,-240.5489555121673,0.27742907404899597,15073646.0
38000,-713.0550172620162,0.20071089267730713,14083086.0
39000,-546.119581816131,0.1889885663986206,13912420.0
40000,-18.863600329322168,0.07515036314725876,11603038.0
41000,-99.84161601580735,0.14227533340454102,10319758.0
42000,-512.8027175886472,0.11570369452238083,9131837.0
43000,-637.3906669577902,0.044784680008888245,8553530.0
44000,-82.69463262089805,0.15400071442127228,7505652.0
45000,151.8978257191652,0.2111816257238388,7603864.0
46000,-93.3404147682372,0.05493301898241043,6165317.0
47000,-789.9733832967048,0.06743063032627106,5322861.5
48000,-78.51167677875353,0.894807755947113,58105624.0
49000,-504.1047183222228,2.381430149078369,228000928.0
50000,-422.0987712350863,0.9591993093490601,171853184.0
