from_checkpoint,to_checkpoint,model,norm_prev,norm_curr,norm_diff,relative_diff,cosine_similarity
baseline_daily43,baseline_daily44,critic_q_ex,2440.4285,2397.7659,43.965103,0.018015321,0.9999905
baseline_daily43,baseline_daily44,critic_q_ex2,2579.172,2544.8914,50.07127,0.019413698,0.9998984
baseline_daily44,baseline_daily45,actor,1738.8887,1733.2626,5.8504114,0.0033644543,0.9999996
baseline_daily44,baseline_daily45,critic_q_ex,2397.7659,2409.4148,23.726238,0.009895144,0.99996305
baseline_daily44,baseline_daily45,critic_q_ex2,2544.8914,2562.0205,34.017223,0.013366867,0.9999336
baseline_daily45,baseline_daily46,actor,1733.2626,1736.7686,4.185539,0.0024148326,0.9999991
baseline_daily45,baseline_daily46,critic_q_ex,2409.4148,2416.2676,9.497933,0.0039420086,0.99999636
baseline_daily45,baseline_daily46,critic_q_ex2,2562.0205,2574.6199,26.427866,0.010315244,0.99995923
baseline_daily46,baseline_daily47,actor,1736.7686,1710.1514,26.702682,0.015374923,0.99999917
baseline_daily46,baseline_daily47,critic_q_ex,2416.2676,2391.6523,28.603771,0.011837998,0.99998146
baseline_daily46,baseline_daily47,critic_q_ex2,2574.6199,2557.9495,38.25409,0.014858151,0.9999102
baseline_daily47,baseline_daily48,actor,1710.1514,1726.8756,17.034384,0.009960746,0.99999803
baseline_daily47,baseline_daily48,critic_q_ex,2391.6523,2433.0906,45.772217,0.019138323,0.9999675
baseline_daily47,baseline_daily48,critic_q_ex2,2557.9495,2603.399,52.56432,0.020549398,0.9999476
baseline_daily48,baseline_daily49,actor,1726.8756,1722.4194,4.6871157,0.0027142174,0.99999964
baseline_daily48,baseline_daily49,critic_q_ex,2433.0906,2422.1877,12.361521,0.005080584,0.99999726
baseline_daily48,baseline_daily49,critic_q_ex2,2603.399,2600.4526,29.609186,0.011373281,0.9999358
baseline_daily49,baseline_daily50,actor,1722.4194,1741.3525,19.080057,0.011077475,0.9999991
baseline_daily49,baseline_daily50,critic_q_ex,2422.1877,2458.278,37.75046,0.015585274,0.99998975
baseline_daily49,baseline_daily50,critic_q_ex2,2600.4526,2641.1504,45.647064,0.017553506,0.9999688
