scenario,method,mean,std,median,count
baseline,bartlett,242.4482618641938,248.82648288449127,200.29805450861016,100000
baseline,delta,243.14664124651884,248.2033652006186,200.79699221341127,100000
baseline,rl,199.4071977894858,313.80248190552584,187.8106203318726,100000
high_vol,bartlett,242.2015333000185,366.7535574584791,172.90276726700222,100000
high_vol,delta,242.91433743623912,365.9498659152158,173.62641750953202,100000
high_vol,rl,199.23884858609162,470.2792693256385,179.93255951622976,100000
