lambda_bin,avg_lambda,avg_trade_size,median_trade_size,count
"(0.00663, 0.00943]",0.009167699111005548,8.069327255058289,1.6310272216796875,20000
"(0.00943, 0.00965]",0.009547981339547438,5.307623515319825,0.9374008178710938,20000
"(0.00965, 0.0098]",0.009726185227174248,5.155214572191238,0.9845657348632812,20000
"(0.0098, 0.00991]",0.009855589257886937,5.314840783166885,1.1544990539550781,20000
"(0.00991, 0.01]",0.009972344305431246,23.354752121353346,7.770671844482422,27086
"(0.01, 0.0101]",0.010033584428640819,5.3155398851802,1.4128837585449219,12914
"(0.0101, 0.0102]",0.01012381889065421,5.30171200594902,1.3260688781738281,20000
"(0.0102, 0.0103]",0.010253331561040935,5.245989927625656,1.0095100402832031,20000
"(0.0103, 0.0106]",0.010436259818470508,5.241152189493179,0.9123458862304688,20000
"(0.0106, 0.0128]",0.010865207058449924,7.751089244985581,1.8063163757324217,20000
